Company Name,Subindustry,Sub Subindustry,Address,Phone,Website,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA,Location 1
Al Hirschfeld Theater,Theater,League,302 W 45th St,(212) 239-6200,,1,10036,40.759351,-73.988864,104,3,121,1024993,1010350037,Clinton                                                                    ,"302 W 45th St
(40.759351, -73.988864)"
The World Famous Laugh Factory,Comedy Club,,303 W 42nd St,212-586-7829 x304,,1,10036,40.757436,-73.990254,104,3,121,1024947,1010330032,Clinton                                                                    ,"303 W 42nd St
(40.757436, -73.990254)"
Bernard B. Jacobs Theatre,Theater,League,242 W 45th St,(212) 239-2820,,1,10036,40.758704,-73.987294,105,3,119,1024716,1010160055,Midtown-Midtown South                                                      ,"242 W 45th St
(40.758704, -73.987294)"
Music Box Theater,Theater,League,239 W 45th St,212 239-6200,,1,10036,40.75866,-73.987146,105,3,119,1024726,1010170011,Midtown-Midtown South                                                      ,"239 W 45th St
(40.75866, -73.987146)"
Helen Hayes Theatre,Theater,League,240 W 44th St,(212) 944-9457,,1,10036,40.757968,-73.987532,105,3,119,1024708,1010150051,Midtown-Midtown South                                                      ,"240 W 44th St
(40.757968, -73.987532)"
Touch Nightclub,Nightclub,,240 W 52nd St,212 489-7656,,1,10019,40.762999,-73.983922,105,3,131,1080862,1010230053,Midtown-Midtown South                                                      ,"240 W 52nd St
(40.762999, -73.983922)"
Hawthorne Amusement,Attractions / Amusement,,243 W 42nd St,,,1,10036,40.756821,-73.988789,105,3,119,1087142,1010140001,Midtown-Midtown South                                                      ,"243 W 42nd St
(40.756821, -73.988789)"
Regal Loews Cinemas 42nd Street E-Walk Theater,Movies,,247 W 42nd St,(212) 840-7761,www.regmovies.com,1,10036,40.756845,-73.988843,105,3,119,1087142,1010140001,Midtown-Midtown South                                                      ,"247 W 42nd St
(40.756845, -73.988843)"
Jujamcyn Theater,Theater,League,246 W 44th St,(212) 840-8181,,1,10036,40.758015,-73.987641,105,3,119,1024709,1010150054,Midtown-Midtown South                                                      ,"246 W 44th St
(40.758015, -73.987641)"
St. James Theatre,Theater,League,246 W 44th St,(212) 239-6200,,1,10036,40.758015,-73.987641,105,3,119,1024709,1010150054,Midtown-Midtown South                                                      ,"246 W 44th St
(40.758015, -73.987641)"
Imperial Theatre,Theater,League,249 W 45th St,(815) 477-5076,,1,10036,40.758728,-73.987312,105,3,119,1024725,1010170010,Midtown-Midtown South                                                      ,"249 W 45th St
(40.758728, -73.987312)"
Cheetahs,Nightclub,,250 W 43rd St,(212) 819-9300,www.cheetahnyc.com,1,10036,40.757309,-73.987901,105,3,119,1085096,1010140055,Midtown-Midtown South                                                      ,"250 W 43rd St
(40.757309, -73.987901)"
Brooks Atkinson Theatre,Theater,League,256 W 47th St,(212) 719-4099,http://www.brooksatkinsontheater.com/,1,10036,40.759936,-73.986381,105,3,125,1024747,1010180057,Midtown-Midtown South                                                      ,"256 W 47th St
(40.759936, -73.986381)"
Freidman Theatre,Theater,Broadway - Non-League,261 W 47th St,(212) 399-3000 x 5401,,1,10036,40.759974,-73.986428,105,3,125,1024753,1010190005,Midtown-Midtown South                                                      ,"261 W 47th St
(40.759974, -73.986428)"
Lyceum Theater,Theater,League,149 W 45th St,212 239-6200,,1,10036,40.757369,-73.984096,105,4,119,1022633,1009980008,Midtown-Midtown South                                                      ,"149 W 45th St
(40.757369, -73.984096)"
Ripley's Believe It Or Not!,Attractions / Amusement,,234 W 42nd St,212-398-3133,www.ripleysnewyork.com,1,10036,40.756747,-73.988659,105,3,113,1024665,1010130012,Midtown-Midtown South                                                      ,"234 W 42nd St
(40.756747, -73.988659)"
Shubert Theatre,Theater,League,234-236 W 44th St,2129443700,,1,10036,40.757921,-73.987421,105,3,119,1024707,1010150049,Midtown-Midtown South                                                      ,"234-236 W 44th St
(40.757921, -73.987421)"
St Luke's Theater,Theater,Off-Broadway,308 W 46th St,(212) 246-8140,http://stlukestheatre.com/,1,10036,40.760032,-73.988518,104,3,121,1025013,1010360037,Clinton                                                                    ,"308 W 46th St
(40.760032, -73.988518)"
Show World Center Inc.,Nightclub,,671 Eighth Ave,(212) 489-7576,,1,10036,40.7576,-73.989536,104,3,121,1083728,1010330036,Clinton                                                                    ,"671 Eighth Ave
(40.7576, -73.989536)"
Lace 2,Nightclub,,689 Eighth Ave,(212) 765-5047,laceclubs.com,1,10036,40.758201,-73.989095,104,3,121,1024969,1010340032,Clinton                                                                    ,"689 Eighth Ave
(40.758201, -73.989095)"
