,Cate,Cols,Id,Len,Name,Time
0,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'age of case in months', '2005 number of cases', '2005 percent of docket', '2006 number of cases', '2006 percent of docket', '2007 number of cases', '2007 percent of docket', '2008 number of cases', '2008 percent of docket', '2009 number of cases', '2009 percent of docket']",22zm-qrtq,14.0,ccrb: age of substantiated cases measured from the date of report 2005 - 2009,1315852801.0
1,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'manhattan north', '2005', '2006', '2007', '2008', '2009', 'total']",23rb-xz43,19.0,ccrb: assignment of officers against whom allegations were substantiated - patrol borough manhattan north 2005 - 2009,1315944880.0
2,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'category', 'subcategory', 'work type', 'fy15', 'fy16', 'fy17', 'fy18', 'fy19', 'total']",24nr-gahi,87.0,five year plan summary by borough and capital categories,1464878819.0
3,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'dbn', 'school name', 'category', 'year', 'total enrollment', '#grade k', '#grade 1', '#grade 2', '#grade 3', '#grade 4', '#grade 5', '#grade 6', '#grade 7', '#grade 8', '#female', '%female', '#male', '%male', '#asian', '%asian', '#black', '%black', '#hispanic', '%hispanic', '#other', '%other', '#white', '%white ', '#ell spanish ', '%ell spanish', '#ell chinese', '%ell chinese', '#ell bengali', '%ell bengali', '#ell arabic', '%ell arabic', '#ell haitian creole', '%ell haitian creole', '#ell french', '%ell french', '#ell russian', '%ell russian', '#ell korean', '%ell korean', '#ell urdu', '%ell urdu', '#ell other', '%ell other', 'ela #test takers', 'ela #level 1', 'ela %level 1', 'ela #level 2', 'ela %level 2', 'ela #level 3', 'ela %level 3', 'ela #level 4', 'ela %level 4', 'ela #l3+l4', 'ela %l3+l4', 'math #test takers', 'math #level 1', 'math %level 1', 'math #level 2', 'math %level 2', 'math #level 3', 'math %level 3', 'math #level 4', 'math %level 4', 'math #l3+l4', 'math %l3 + l4']",25aa-q86c,6924.0,2015-16 demographic data - grades k-8 school,1502211892.0
4,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'agency', 'mmr goal', 'critical', 'performance indicator', 'fy13', 'fy14', 'fy15', 'fy16', 'fy17', 'tgt17', 'tgt18', '5 yr trend', 'desired direction']",25cx-4jug,1729.0,fy17 mmr agency performance indicators,1505763747.0
5,Health,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'year of birth', 'gender', 'ethnicity', ""child's first name"", 'count', 'rank']",25th-nujf,22035.0,"most popular baby names by sex and mother's ethnic group, new york city",1382724894.0
6,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'grade', 'year', 'category', 'number tested', 'mean scale score', '# level 1', '% level 1', '# level 2', '% level 2', '# level 3', '% level 3', '# level 4', '% level 4', '# level 3+4', '% level 3+4']",26kp-bgdh,231.0,2013 - 2015 new york state english language arts (ela) exam,1457474537.0
7,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'fiscal year', 'inmate population']",26ze-s5bx,10.0,average daily inmate population,1317945047.0
8,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'borough', 'grade level', 'program type', 'number of students', 'number of classes', 'average class size']",276h-y36a,157.0,2017 - 2018 november2017 avg class size borough k8 - open data portal,1511881382.0
9,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'district', 'grade', 'year', 'category', 'number tested', 'mean scale score', 'level1_n', 'level1_%', 'level2_n', 'level2_%', 'level3_n', 'level3_%', 'level4_n', 'level4_%', 'level3+4_n', 'level3+4_%']",27h8-t3wt,1120.0,2013-2017 district math results - all,1506354100.0
10,Transportation,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'school_year', 'vendor_name', 'vehicle_typedescription', 'active_vehicles']",28rh-vpvr,572.0,vehicles,1447451401.0
11,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'dbn', 'location name', 'location category', 'administrative district', '0k removals', '0k principal', '0k superintendent', '0k expulsions', '01 removals', '01 principal', '01 superintendent', '01 expulsions', '02 removals', '02 principal', '02 superintendent', '02 expulsions', '03 removals', '03 principal', '03 superintendent', '03 expulsions', '04 removals', '04 principal', '04 superintendent', '04 expulsions', '05 removals', '05 principal', '05 superintendent', '05 expulsions', '06 removals', '06 principal', '06 superintendent', '06 expulsions', '07 removals', '07 principal', '07 superintendent', '07 expulsions', '08 removals', '08 principal', '08 superintendent', '08 expulsions', '09 removals', '09 principal', '09 superintendent', '09 expulsions', '10 removals', '10 principal', '10 superintendent', '10 expulsions', '11 removals', '11 principal', '11 superintendent', '11 expulsions', '12 removals', '12 principal', '12 superintendent', '12 expulsions']",29bv-qqsy,1743.0,2015 2016 student discipline annual report - grade level,1502304490.0
12,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'location_id', 'organization_id', 'name', 'latitude', 'longitude', 'bbl', 'bin', 'cd', 'council', 'nta', 'tract']",29km-avyc,4578.0,verified locations for nyc city-funded social service contracts fy2018 (location),1522175299.0
13,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'dbn', 'school name', 'category', 'year', 'total enrollment', '#grade k', '#grade 1', '#grade 2', '#grade 3', '#grade 4', '#grade 5', '#grade 6', '#grade 7', '#grade 8', '#female', '%female', '#male', '%male', '#asian', '%asian', '#black', '%black', '#hispanic', '%hispanic', '#other', '%other', '#white', '%white', '#ell spanish', '%ell spanish', '#ell chinese', '%ell chinese', '#ell bengali', '%ell bengali', '#ell arabic', '%ell arabic', '#ell haitian creole', '%ell haitian creole', '#ell french', '%ell french', '#ell russian', '%ell russian', '#ell korean', '%ell korean', '#ell urdu', '%ell urdu', '#ell other', '%ell other', 'ela #test takers', 'ela #level 1', 'ela %level 1', 'ela #level 2', 'ela %level 2', 'ela #level 3', 'ela %level 3', 'ela #level 4', 'ela %level 4', 'ela #l3+l4', 'ela %l3+l4', 'math #test takers', 'math #level 1', 'math %level 1', 'math #level 2', 'math %level 2', 'math #level 3', 'math %level 3', 'math #level 4', 'math %level 4', 'math #l3+l4', 'math %l3+l4']",29ry-u5bf,6828.0,2017 diversity report k-8 - school,1511292394.0
14,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'grade', 'year', 'demographic', 'number tested', 'mean scale score', 'num level 1', 'pct level 1', 'num level 2', 'pct level 2', 'num level 3', 'pct level 3', 'num level 4', 'pct level 4', 'num level 3 and 4', 'pct level 3 and 4']",2bh6-qmgg,98.0,2006-2012 math test results - citywide - gender,1361414674.0
15,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'published date', 'project type', 'project type description', 'budget line', 'budget line description', 'funding type', 'number of years presented', 'first fiscal year', 'fiscal year 1 amount', 'fiscal year 2 amount', 'fiscal year 3 amount', 'fiscal year 4 amount', 'fiscal year 5 amount']",2cmn-uidm,11544.0,capital commitment plan,1517866881.0
16,Housing & Development,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'priority code', 'title', 'description']",2ei9-vg68,5.0,nycha application priority codes,1364497876.0
17,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'dbn', 'school name', 'grade level', 'category', 'average frequency ', 'average minutes', '# of students who are receiving the required amount of physical education instruction', '%  of students who are receiving the required amount of physical education instruction', '# of students who are receiving less than the required amount of physical education instruction', '% of students who are receiving less than the required amount of physical education instruction', '# of students who have an iep that recommends adaptive physical education', '%of students who have an iep that recommends adaptive physical education']",2emc-na4n,77561.0,2016-17 physical education - pe instruction - school level,1504301725.0
18,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'family size', 'yearly income ($)', 'monthly income ($)', 'weekly income ($)']",2enn-s52j,8.0,adult family health plus levels,1363716443.0
19,Housing & Development,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', '#', 'type of work\xa0\xa0\xa0', 'estimated $ range\xa0\xa0\xa0', 'bid date & time\xa0\xa0\xa0', 'pin\xa0\xa0\xa0', 'proj id\xa0\xa0\xa0', 'description\xa0\xa0\xa0', 'plan holders']",2eq2-trdu,43.0,directory of competitive bid,1362576815.0
20,Social Services,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'organization name', 'program name', 'phone number', 'fax number', 'tty number ', 'hotline number', 'hotline hours of operation', 'website', 'borough served brooklyn ', 'borough served bronx ', 'borough served manhattan ', 'borough served queens ', 'borough served staten island ', 'borough served citywide ', 'catchment area', 'language english ', 'language spanish', 'language chinese', 'language bengali ', 'language polish ', 'language french ', 'language arabic ', 'language haitian creole ', 'language korean ', 'language albanian ', 'language russian ', 'language hindi', 'language urdu', 'language african languages ', 'language american sign ', 'language other ', 'wheelchair accessible', 'fee services', 'specialize survivors of sexual assault and domestic violence', 'specialize child witness to domestic violence ', 'specialize hiv/aids', 'specialize lgbtq', 'specialize male survivors', 'specialize new immigrants', 'specialize people seeking asylum', 'specialize substance abuse services', 'specialize trafficking victim services', 'specialize elder abuse services', 'specialize services stalking victims ', 'specialize services teen dating violence victims ', 'specialize services people disabilities ', 'specialize batterers', 'specialize children at risk ', 'specialized teenagers', 'specialize other', 'service community education', 'service court/police accompaniment', 'service crisis counseling', 'service general domestic violence', 'service elder abuse', 'service esl classes', 'service emergency assistance/transportation', 'service healing arts theater programs', 'service health services', 'service hiv/aids', 'service job training', 'service sexual assault victim services', 'service long term counseling', 'service lock replacement', 'service play therapy', 'service public assistance', 'service referrals', 'service shelter assistance ', 'service housing assistance ', 'service stalking victim services ', 'service teen dating violence victim services', 'service trafficking victim services', 'service other ']",2fws-68t6,230.0,mayor's office to combat domestic violence resource directory,1514392105.0
21,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'grade', 'year', 'category', 'number tested', 'mean scale score', 'level1_n', 'level1_%', 'level2_n', 'level2_%', 'level3_n', 'level3_%', 'level4_n', 'level4_%', 'level3+4_n', 'level3+4_%']",2gjq-v9z9,83.0,2013-2017 citywide math results - evell,1506352064.0
22,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'type of abuse of authority allegation', 'substantiated number', 'sunstantiated rate', 'exonerated number', 'exonerated rate', 'unsubstantiated number', 'unsubstantiated rate', 'unfounded number', 'unfounded rate', 'officer unidentified number', 'officer unidentified rate', 'miscellaneous', 'miscellaneous rate']",2iia-33q9,30.0,disposition of abuse of authority allegations 2007,1317245873.0
23,Public Safety,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'other bureaus', '2005', '2006', '2007', '2008', '2009', 'total']",2ij3-wj64,15.0,ccrb: assignment of officers against whom allegations were substantiated - other bureaus 2005 - 2009,1315932434.0
24,Social Services,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'date', 'unique id number', 'program code', 'language', 'program name', 'program acronym, if any', 'page type', 'program category', 'government agency', 'population served', 'age group', 'plain language program name', 'program description', 'brief excerpt', 'heads up', 'plain language eligibility', 'how to apply summary', 'how to apply or enroll online?', 'apply online call to action', 'url of online application', 'how to apply or enroll by mail?', 'apply by mail call to action', 'application forms', 'url of pdf application forms', 'how to apply or enroll in person?', 'apply in person call to action', 'office locations url', 'how to apply or enroll by phone?', 'required documents summary', 'get help summary', 'get help in person', 'get help online', 'get help by email', 'get help by calling , other than 311.', 'get help by calling 311. please provide what to ask for when calling 311']",2j8u-wtju,5669.0,benefits and programs api,1490112684.0
25,Transportation,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'licensee number', 'licensee name', 'alternate name of licensee', 'building', 'street address', 'secondary address', 'city', 'state', 'post code', 'borough', 'telephone number', 'last updated date', 'last updated time', 'latitude', 'longitude', 'community board', 'community council ', 'census tract', 'bin', 'bbl', 'nta']",2n4x-d97d,2.0,nyc taxi and limousine commission authorized dispatch service providers (dsp),1480364460.0
26,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'grade', 'year', 'category', 'number tested', 'mean scale score', 'level1_n', 'level1_%', 'level2_n', 'level2_%', 'level3_n', 'level3_%', 'level4_n', 'level4_%', 'level3+4_n', 'level3+4_%']",2p64-jbjs,35.0,2013-2017 citywide ela results - all,1506349682.0
27,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'year', 'dbn', 'school name', 'total enrollment', 'grade pk', 'grade k', 'grade 1', 'grade 2', 'grade 3', 'grade 4', 'grade 5', 'grade 6', 'grade 7', 'grade 8', 'grade 9', 'grade 10', 'grade 11', 'grade 12', '# female', '% female', '# male', '% male', '# asian', '% asian', '# black', '% black', '# hispanic', '% hispanic', '# other', '% other', '# white', '% white', '# students with disabilities', '% students with disabilities', '# english language learners', '% english language learners', '# qualified for free or reduced lunches', '% qualified for free or reduced lunches', '# poverty', '% poverty']",2pmj-y4p4,9200.0,2015 - 2016 audited register data,1451494488.0
28,Environment,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'zip', 'building type (service class)', ' consumption (mlbs) ', ' consumption (mg) ', 'utility/data source']",2pmt-skyq,102.0,steam consumption by zip code - 2010,1317248179.0
29,Social Services,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'gf application submitted to doitt (a)', 'cbl link id', 'latitude', 'longitude', 'borough', 'council district', 'zoning', 'community board', 'street address', 'cross_street 1', 'postcode', 'cross_street 2', 'link in historic district', 'site in business improvement district (bid)?', 'nta', 'bid', 'gf permit_appl_id', 'bin', 'bbl', 'census tract', 'location 1']",2q48-ip9a,221.0,linknyc new site permit applications - map,1461876323.0
30,Health,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'survey', 'question', 'year', 'prevalence', 'lower95%ci', 'upper95%ci']",2r9r-m6j4,100.0,community health survey,1477662152.0
31,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'food type', 'from new york state source', 'other source - during new york state availability period', 'other source - outside new york state availability period']",2rd2-9uwy,83.0,local law 50 new york state food purchasing fy15,1450370278.0
32,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'mocs people id', 'organization name', 'person first name', 'person middle name', 'person last name', 'person_name_suffix', 'relationship type code', 'doing business start date', 'doing business end date']",2sps-j9st,49649.0,doing business search - people,1450892054.0
33,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'publication date', 'agency number', 'agency name', 'fiscal year', 'personnel type code', 'personnel type name', 'code for full-time & ftes', 'full-time/full-time equivalents/ ft + fte positions', 'city funded headcount', 'ifa funded headcount', 'cd funded headcount', 'other funded headcount', 'total']",2t2c-qih9,8778.0,full-time and full-time equivalent staffing levels,1462306191.0
34,City Government,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'jurisdiction name', 'count participants', 'count female', 'percent female', 'count male', 'percent male', 'count gender unknown', 'percent gender unknown', 'count gender total', 'percent gender total', 'count pacific islander', 'percent pacific islander', 'count hispanic latino', 'percent hispanic latino', 'count american indian', 'percent american indian', 'count asian non hispanic', 'percent asian non hispanic', 'count white non hispanic', 'percent white non hispanic', 'count black non hispanic', 'percent black non hispanic', 'count other ethnicity', 'percent other ethnicity', 'count ethnicity unknown', 'percent ethnicity unknown', 'count ethnicity total', 'percent ethnicity total', 'count permanent resident alien', 'percent permanent resident alien', 'count us citizen', 'percent us citizen', 'count other citizen status', 'percent other citizen status', 'count citizen status unknown', 'percent citizen status unknown', 'count citizen status total', 'percent citizen status total', 'count receives public assistance', 'percent receives public assistance', 'count nreceives public assistance', 'percent nreceives public assistance', 'count public assistance unknown', 'percent public assistance unknown', 'count public assistance total', 'percent public assistance total']",2t32-hbca,65.0,assembly district breakdowns,1311776156.0
35,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'grade', 'year', 'category', 'number tested', 'mean scale score', 'level1_n', 'level1_%', 'level2_n', 'level2_%', 'level3_n', 'level3_%', 'level4_n', 'level4_%', 'level3+4_n', 'level3+4_%']",2uk5-v8da,84.0,2013-2017 citywide ela results - evell,1506350235.0
36,Transportation,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'base license number', 'wave number', 'base name', 'dba', 'years', 'week number', 'pickup start date', 'pickup end date', 'total dispatched trips', 'unique dispatched vehicle']",2v9c-2k7f,81423.0,fhv base aggregate report,1460045702.0
37,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'district', 'grade level', 'category', 'average frequency ', 'average minutes', '# of students who are receiving the required amount of physical education instruction', '% of students who are receiving the required amount of physical education instruction', '# of students who are receiving less than the required amount of physical education instruction', '% of students who are receiving less than the required amount of physical education instruction', '# of students who have an iep that recommends adaptive physical education', '% of students who have an iep that recommends adaptive physical education']",2vha-97jm,4290.0,2016-17 physical education - pe instruction - district level,1504301518.0
38,Education,"['sid', 'id', 'position', 'created_at', 'created_meta', 'updated_at', 'updated_meta', 'meta', 'dbn', 'location name', 'location category', 'administrative district', 'american indian/alaskan native removals', 'american indian/alaskan native principal', 'american indian/alaskan native superintendent', 'american indian/alaskan native expulsions', 'asian removals', 'asian principal', 'asian superintendent', 'asian expulsions', 'black removals', 'black principal', 'black superintendent', 'black expulsions', 'hispanic removals', 'hispanic principal', 'hispanic superintendent', 'hispanic expulsions', 'white removals', 'white principal', 'white superintendent', 'white expulsions', 'multi-racial removals', 'multi-racial principal', 'multi-racial superintendent', 'multi-racial expulsions', 'unknown removals', 'unknown principal', 'unknown superintendent', 'unknown expulsions']",2x8v-d8nh,1743.0,2015-16 student discipline annual report - race,1501869385.0
