	Cols	Id	Name	Len	Time	Cate
0	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, age of case in months, 2005 number of cases, 2005 percent of docket, 2006 number of cases, 2006 percent of docket, 2007 number of cases, 2007 percent of docket, 2008 number of cases, 2008 percent of docket, 2009 number of cases, 2009 percent of docket"	22zm-qrtq	ccrb: age of substantiated cases measured from the date of report 2005 - 2009	14	1315852801	Public Safety
1	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, manhattan north, 2005, 2006, 2007, 2008, 2009, total"	23rb-xz43	ccrb: assignment of officers against whom allegations were substantiated - patrol borough manhattan north 2005 - 2009	19	1315944880	Public Safety
2	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, category, subcategory, work type, fy15, fy16, fy17, fy18, fy19, total"	24nr-gahi	five year plan summary by borough and capital categories	87	1464878819	Education
3	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, dbn, school name, category, year, total enrollment, #grade k, #grade 1, #grade 2, #grade 3, #grade 4, #grade 5, #grade 6, #grade 7, #grade 8, #female, %female, #male, %male, #asian, %asian, #black, %black, #hispanic, %hispanic, #other, %other, #white, %white , #ell spanish , %ell spanish, #ell chinese, %ell chinese, #ell bengali, %ell bengali, #ell arabic, %ell arabic, #ell haitian creole, %ell haitian creole, #ell french, %ell french, #ell russian, %ell russian, #ell korean, %ell korean, #ell urdu, %ell urdu, #ell other, %ell other, ela #test takers, ela #level 1, ela %level 1, ela #level 2, ela %level 2, ela #level 3, ela %level 3, ela #level 4, ela %level 4, ela #l3+l4, ela %l3+l4, math #test takers, math #level 1, math %level 1, math #level 2, math %level 2, math #level 3, math %level 3, math #level 4, math %level 4, math #l3+l4, math %l3 + l4"	25aa-q86c	2015-16 demographic data - grades k-8 school	6924	1502211892	Education
4	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, agency, mmr goal, critical, performance indicator, fy13, fy14, fy15, fy16, fy17, tgt17, tgt18, 5 yr trend, desired direction"	25cx-4jug	fy17 mmr agency performance indicators	1729	1505763747	City Government
5	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, year of birth, gender, ethnicity, ""childs first name"", count, rank"	25th-nujf	"most popular baby names by sex and mother's ethnic group, new york city"	22035	1382724894	Health
6	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, grade, year, category, number tested, mean scale score, # level 1, % level 1, # level 2, % level 2, # level 3, % level 3, # level 4, % level 4, # level 3+4, % level 3+4"	26kp-bgdh	2013 - 2015 new york state english language arts (ela) exam	231	1457474537	Education
7	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, fiscal year, inmate population"	26ze-s5bx	average daily inmate population	10	1317945047	Public Safety
8	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, borough, grade level, program type, number of students, number of classes, average class size"	276h-y36a	2017 - 2018 november2017 avg class size borough k8 - open data portal	157	1511881382	Education
9	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, district, grade, year, category, number tested, mean scale score, level1_n, level1_%, level2_n, level2_%, level3_n, level3_%, level4_n, level4_%, level3+4_n, level3+4_%"	27h8-t3wt	2013-2017 district math results - all	1120	1506354100	Education
10	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, school_year, vendor_name, vehicle_typedescription, active_vehicles"	28rh-vpvr	vehicles	572	1447451401	Transportation
11	"sid, id, position, created_at, created_meta, updated_at, updated_meta, meta, dbn, location name, location category, administrative district, 0k removals, 0k principal, 0k superintendent, 0k expulsions, 01 removals, 01 principal, 01 superintendent, 01 expulsions, 02 removals, 02 principal, 02 superintendent, 02 expulsions, 03 removals, 03 principal, 03 superintendent, 03 expulsions, 04 removals, 04 principal, 04 superintendent, 04 expulsions, 05 removals, 05 principal, 05 superintendent, 05 expulsions, 06 removals, 06 principal, 06 superintendent, 06 expulsions, 07 removals, 07 principal, 07 superintendent, 07 expulsions, 08 removals, 08 principal, 08 superintendent, 08 expulsions, 09 removals, 09 principal, 09 superintendent, 09 expulsions, 10 removals, 10 principal, 10 superintendent, 10 expulsions, 11 removals, 11 principal, 11 superintendent, 11 expulsions, 12 removals, 12 principal, 12 superintendent, 12 expulsions"	29bv-qqsy	2015 2016 student discipline annual report - grade level	1743	1502304490	Education
